Location,Crop,Variety,Phenological Stage,Risk Number,Stacked,Stacked Logic,Risk Category,Risk Icon,Risk Type (Internal use for parser development only),Variable,Aggregation,Comparator,Threshold,Variable Unit,Minimum Temporal Recurrence,Rolling Window,Consecutive,Yield Impact Type,Yield Impact (Minimum Recurrence Met/No Recurrence),Yield Impact After Minimum Recurrence (Only valid for case 2),Yield Impact Function Unit,Max Yield Impact,Start Month,Start Day,End Month,End Day,Risk Explanation,Subtitle (column editable),user
[(Romania)],Barley,Winter,Emergence-Tillering,4,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,10,°C,1,{},FALSE,continuous,-2%,-2,days,-100%,10.0,15.0,11.0,15.0,"1 day of min temperature below or equal to 10°C, Oct 15 to Nov 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Stem elongation-Heading floral initiation,5,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,35,°C,1,{},FALSE,continuous,-20%,-5,days,-100%,2.0,15.0,6.0,10.0,"1 day of max temperature above or equal to 35°C, Feb 15 to Jun 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Stem elongation-Heading floral initiation,6,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,10,°C,1,{},FALSE,continuous,-2%,-1%,days,-15%,2.0,15.0,6.0,10.0,"1 day of min temperature below or equal to 10°C, Feb 15 to Jun 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Flowering-Harvest,7,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,35,°C,1,{},FALSE,continuous,-5%,-2,days,-100%,6.0,10.0,8.0,15.0,"1 day of max temperature above or equal to 35°C, Jun 10 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Flowering-Harvest,8,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,10,°C,1,{},FALSE,continuous,-10%,-5,days,-100%,6.0,10.0,8.0,15.0,"1 day of min temperature below or equal to 10°C, Jun 10 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Flowering-Harvest,9,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,50,mm,{},{},{},discrete,-25%,{},{},-25%,6.0,10.0,8.0,15.0,"Total precipitation below 50mm, Jun 10 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Whole season,10,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,250,mm,{},{},{},continuous,-1%,-0.50%,mm,-100%,9.0,15.0,8.0,15.0,"Total precipitation below 250mm, Sep 15 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Sowing,11,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,3,°C,1,{},FALSE,continuous,-5%,-5.00%,days,-100%,9.0,20.0,10.0,15.0,"1 day of min temperature below 3°C, Sep 20 to Oct 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Sowing,12,False,{},Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,-15,°C,1,{},FALSE,discrete,-30%,{},{},-30%,9.0,20.0,10.0,15.0,"1 day of min temperature below or equal to -15°C, Sep 20 to Oct 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Sowing and Vegetative growth,13,False,{},Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,-15,°C,1,{},FALSE,discrete,-30%,{},{},-30%,9.0,20.0,4.0,15.0,"1 day of min temperature below or equal to -15°C, Sep 20 to Apr 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Heading and Flowering,14,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,25,°C,1,{},FALSE,continuous,-2%,-1.00%,days,-100%,3.0,15.0,4.0,15.0,"1 day of max temperature above or equal to 25°C, Mar 15 to Apr 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Flowering,15,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,27,°C,3,{},FALSE,continuous,-5%,-1.00%,°C,-100%,4.0,15.0,5.0,10.0,"3 nonconsecutive days of max temperature above or equal to 27°C, Apr 15 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Flowering,16,False,{},High Precipitation,risk_flood,Case 2: Days With Risk,precipitation,total # of days,>=,10,mm,3,{},TRUE,discrete,-30%,{},{},-30%,4.0,15.0,5.0,10.0,"3 consecutive days of precipitation above or equal to 10mm, Apr 15 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Flowering,17,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,0,°C,1,{},FALSE,discrete,-50%,{},{},-50%,4.0,15.0,5.0,10.0,"1 day of min temperature below or equal to 0°C, Apr 15 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Flowering to Harvest,18,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,42,°C,1,{},FALSE,discrete,-30%,{},{},-30%,4.0,15.0,8.0,15.0,"1 day of max temperature above or equal to 42°C, Apr 15 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Flowering,19,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,30,°C,1,{},FALSE,continuous,-4%,-2.00%,days,-20%,4.0,15.0,5.0,10.0,"1 day of max temperature above or equal to 30°C, Apr 15 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Grain Filling to Harvest,20,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,32,°C,2,{},FALSE,continuous,-4%,-2.00%,days,-20%,5.0,10.0,8.0,15.0,"2 nonconsecutive days of max temperature above or equal to 32°C, May 10 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Flowering to Harvest,21,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,100,mm,{},{},{},discrete,-20%,{},{},-20%,4.0,15.0,8.0,15.0,"Total precipitation below 100mm, Apr 15 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Wheat,Winter,Whole Season,22,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,300,mm,{},{},{},continuous,-1%,-0.50%,mm,-100%,9.0,20.0,8.0,15.0,"Total precipitation below 300mm, Sep 20 to Aug 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Sowing to emergence,23,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,5,°C,2,{},TRUE,continuous,-5%,-5%,days,-100%,4.0,25.0,5.0,10.0,"2 consecutive days of min temperature below 5°C, Apr 25 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Sowing to emergence,24,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,45,°C,2,{},TRUE,continuous,-5%,-5%,days,-100%,4.0,25.0,5.0,10.0,"2 consecutive days of max temperature above 45°C, Apr 25 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Sowing to emergence,25,False,{},Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,-1,°C,1,{},TRUE,continuous,-20%,-5%,days,-100%,4.0,25.0,5.0,10.0,"1 day of min temperature below -1°C, Apr 25 to May 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Emergence to Vegetative Growth,26,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,7,°C,7,{},TRUE,continuous,-7%,-2%,days,-100%,5.0,10.0,6.0,15.0,"7 consecutive days of min temperature below 7°C, May 10 to Jun 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Emergence to Vegetative Growth,27,False,{},Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,-1,°C,1,{},TRUE,discrete,-50%,{},{},-50%,5.0,10.0,6.0,15.0,"1 day of min temperature below -1°C, May 10 to Jun 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Emergence to Vegetative Growth,28,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,42,°C,4,{},TRUE,continuous,-5%,-2%,days,-100%,5.0,10.0,6.0,15.0,"4 consecutive days of max temperature above 42°C, May 10 to Jun 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Vegetative Growth,29,True,AND,High Humidity,risk_high_humidity,Case 2: Days With Risk,humidity,total # of days,>=,90,%,1,{},TRUE,continuous,-2%,-2%,days,-80%,5.0,10.0,6.0,15.0,"1 day of humidity above or equal to 90%, May 10 to Jun 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Vegetative Growth,29,True,AND,Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,28,°C,1,{},TRUE,continuous,-2%,-2%,days,-80%,5.0,10.0,6.0,15.0,"1 day of min temperature below or equal to 28°C, May 10 to Jun 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Flowering to Full Pod,30,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,38,°C,4,{},TRUE,discrete,-10%,{},{},-10%,6.0,15.0,7.0,15.0,"4 consecutive days of max temperature above 38°C, Jun 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Flowering to Full Pod,31,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,mean temperature,total # of days,<,23,°C,10,{},TRUE,discrete,-10%,{},{},-10%,6.0,15.0,7.0,15.0,"10 consecutive days of mean temperature below 23°C, Jun 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Flowering to Full Pod,32,False,{},Low Humidity,risk_low_humidity,Case 1: Simple Aggregation,humidity,average of variable,<,80,%,10,{},TRUE,discrete,-10%,{},{},-10%,6.0,15.0,7.0,15.0,"Average humidity below 80%, Jun 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Flowering to Full Pod,33,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,100,mm,{},{},{},continuous,-1%,-1%,mm,-30%,6.0,15.0,7.0,15.0,"Total precipitation below 100mm, Jun 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Beginning Seed to Full Seed,34,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,28,°C,3,{},TRUE,continuous,-15%,-2%,days,-100%,7.0,15.0,8.0,10.0,"3 consecutive days of max temperature above 28°C, Jul 15 to Aug 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean ,Default,Beginning Seed to Full Seed,35,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,8,°C,2,{},TRUE,discrete,-40%,{},{},-40%,7.0,15.0,8.0,10.0,"2 consecutive days of min temperature below 8°C, Jul 15 to Aug 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Soybean,Default,Whole season,36,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,1100,mm,{},{},{},continuous,0%,-0.2%,mm,-100%,4.0,25.0,8.0,10.0,"Total precipitation below 1100mm, Apr 25 to Aug 10.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Sowing to emergence,37,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,6,°C,2,{},TRUE,discrete,-20%,{},{},-50%,4.0,15.0,5.0,15.0,"2 consecutive days of min temperature below 6°C, Apr 15 to May 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Emergence to Vegetative Growth,38,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,mean temperature,total # of days,<,8,°C,2,{},TRUE,discrete,-15%,{},{},-15%,5.0,15.0,7.0,15.0,"2 consecutive days of mean temperature below 8°C, May 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Emergence to Vegetative Growth,39,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,24,°C,7,{},TRUE,discrete,-10%,{},{},-40%,5.0,15.0,7.0,15.0,"7 consecutive days of max temperature above 24°C, May 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Emergence to Vegetative Growth,40,False,{},Killing Risk - Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,-6,°C,1,{},TRUE,discrete,-20%,{},{},-20%,5.0,15.0,7.0,15.0,"1 day of min temperature below -6°C, May 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Vegetative Growth,41,True,AND,High Humidity,risk_high_humidity,Case 2: Days With Risk,humidity,total # of days,>=,90,%,1,{},TRUE,continuous,-1%,-1%,days,-80%,5.0,15.0,7.0,15.0,"1 day of humidity above or equal to 90%, May 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Vegetative Growth,41,True,AND,Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,28,°C,1,{},TRUE,continuous,-1%,-1%,days,-80%,5.0,15.0,7.0,15.0,"1 day of min temperature below or equal to 28°C, May 15 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Flowering ,42,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,30,°C,2,{},TRUE,continuous,-3%,-3%,days,-40%,7.0,15.0,8.0,5.0,"2 consecutive days of max temperature above 30°C, Jul 15 to Aug 5.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Flowering and maturity,43,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,mean temperature,total # of days,>,34,°C,1,{},TRUE,continuous,-5%,-10%,days,-50%,7.0,15.0,9.0,20.0,"1 day of mean temperature above 34°C, Jul 15 to Sep 20.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Flowering and maturity,44,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,mean temperature,total # of days,<,2,°C,1,{},TRUE,continuous,-15%,-5%,days,-100%,7.0,15.0,9.0,20.0,"1 day of mean temperature below 2°C, Jul 15 to Sep 20.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Flowering and maturity,45,False,{},Low Precipitation,risk_drought,Case 1: Simple Aggregation,precipitation,total of variable,<,20,mm,{},{},{},discrete,-25%,{},{},-20%,7.0,15.0,9.0,20.0,"Total precipitation below 20mm, Jul 15 to Sep 20.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Sunflower,Default,Maturity,46,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,mean temperature,total # of days,>,33,°C,1,{},{},continuous,-4%,-4%,days,-40%,8.0,15.0,9.0,20.0,"1 day of mean temperature above 33°C, Aug 15 to Sep 20.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Sowing to emergence,47,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,5,°C,1,{},FALSE,continuous,-2%,-2.00%,days,-15%,4.0,15.0,5.0,15.0,"1 day of min temperature below 5°C, Apr 15 to May 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Emergence to Vegetative Growth,48,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,mean temperature,total # of days,<,10,°C,1,{},TRUE,discrete,-3%,{},{},-3%,5.0,15.0,6.0,30.0,"1 day of mean temperature below 10°C, May 15 to Jun 30.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Emergence to Vegetative Growth,49,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,35,°C,3,{},TRUE,discrete,-10%,{},{},-10%,5.0,15.0,6.0,30.0,"3 consecutive days of max temperature above 35°C, May 15 to Jun 30.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Tasseling,50,False,{},High Humidity,risk_high_humidity,Case 2: Days With Risk,humidity,total # of days,>,90,%,5,{},TRUE,continuous,-2%,-0.50%,days,-5%,6.0,1.0,6.0,15.0,"5 consecutive days of humidity above 90%, Jun 1 to Jun 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Flowering,51,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,40,°C,1,{},FALSE,continuous,-15%,-10.00%,days,-60%,7.0,1.0,7.0,15.0,"1 day of max temperature above 40°C, Jul 1 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Flowering,52,True,AND,Extreme Heat,risk_heat_stress,Case 2: Days With Risk,mean temperature,total # of days,>,32,°C,1,{},FALSE,continuous,-5%,-3%,days,-50%,7.0,1.0,7.0,15.0,"1 day of mean temperature above 32°C, Jul 1 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Flowering,52,True,AND,Low Humidity,risk_low_humidity,Case 2: Days With Risk,humidity,total # of days,<,50,%,1,{},FALSE,continuous,-5%,-3%,days,-50%,7.0,1.0,7.0,15.0,"1 day of humidity below 50%, Jul 1 to Jul 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Flowering and Kernel Growth,53,True,AND,Extreme Heat,risk_heat_stress,Case 2: Days With Risk,mean temperature,total # of days,">,<","20,25",°C,1,{},FALSE,continuous,-2%,-2%,days,-10%,7.0,1.0,9.0,15.0,"1 day of mean temperatureundefined20,25°C, Jul 1 to Sep 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Flowering and Kernel Growth,53,True,AND,High Precipitation,risk_flood,Case 2: Days With Risk,precipitation,total # of days,>,10,mm,1,{},FALSE,continuous,-2%,-2%,days,-10%,7.0,1.0,9.0,15.0,"1 day of precipitation above 10mm, Jul 1 to Sep 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Kernel Growth,54,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,36,°C,3,{},TRUE,continuous,-2%,-1%,days,-10%,7.0,15.0,9.0,15.0,"3 consecutive days of max temperature above 36°C, Jul 15 to Sep 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Kernel Growth to Harvest,55,False,{},High Precipitation,risk_flood,Case 1: Simple Aggregation,precipitation,total of variable,>,1200,mm,{},{},{},continuous,0%,0%,mm,-30%,7.0,15.0,9.0,15.0,"Total precipitation above 1200mm, Jul 15 to Sep 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Corn,Default,Harvest,56,False,{},High Precipitation,risk_flood,Case 2: Days With Risk,precipitation,total # of days,>,5,mm,1,{},FALSE,continuous,-5%,-5.00%,days,-30%,9.0,15.0,10.0,15.0,"1 day of precipitation above 5mm, Sep 15 to Oct 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Dormancy,57,False,{},Low Chill Hours,risk_chill_hours_stress,Case 1: Simple Aggregation,chill hours,total of variable,<,750,hours,{},{},{},continuous,0%,-0.20%,h,-50%,11.0,1.0,3.0,25.0,"Total chill hours below 750hours, Nov 1 to Mar 25.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Budburst,58,False,{},Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,-7,°C,1,{},TRUE,continuous,-5%,-5%,days,-20%,3.0,20.0,4.0,5.0,"1 day of min temperature below -7°C, Mar 20 to Apr 5.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Flowering,59,False,{},Frost,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,-2,°C,2,{},TRUE,continuous,-2%,-2%,days,-30%,4.0,25.0,5.0,31.0,"2 consecutive days of min temperature below -2°C, Apr 25 to May 31.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Flowering,60,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,mean temperature,average of variable,<=,21,°C,{},{},{},discrete,-5%,{},{},-5%,4.0,25.0,5.0,31.0,"1 day of Average mean temperature below or equal to 21°C, Apr 25 to May 31.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Fruit Growth,61,True,AND,Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,35,°C,5,{},TRUE,continuous,-5%,-1%,days,-15%,5.0,31.0,10.0,30.0,"5 consecutive days of max temperature above 35°C, May 31 to Oct 30.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Fruit Growth,61,True,AND,Low Humidity,risk_low_humidity,Case 2: Days With Risk,humidity,total # of days,<,70,%,5,{},TRUE,continuous,-5%,-1%,days,-15%,5.0,31.0,10.0,30.0,"5 consecutive days of humidity below 70%, May 31 to Oct 30.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Hazelnut,Default,Fruit Growth to Harvest,62,False,{},High Wind Risk,risk_high_wind_speed,Case 2: Days With Risk,wind speed,total # of days,>,80,km/h,1,{},FALSE,continuous,-2%,-2%,days,-15%,5.0,31.0,10.0,30.0,"1 day of wind speed above 80km/h, May 31 to Oct 30.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Rapeseed,Winter Crop,Sowing,63,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,10,°C,1,{},FALSE,continuous,-2%,-1.00%,days,-15%,9.0,5.0,10.0,5.0,"1 day of min temperature below 10°C, Sep 5 to Oct 5.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Rapeseed,Winter Crop,Vegetative Growth,64,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,25,°C,3,{},TRUE,discrete,-5%,{},{},-5%,10.0,5.0,12.0,1.0,"3 consecutive days of max temperature above 25°C, Oct 5 to Dec 1.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
